"Year","Month","Discharge"
2011,10,91.5451612903226
2011,11,64.1166666666667
2011,12,47.2225806451613
2012,1,35.1677419354839
2012,2,37.5896551724138
2012,3,50.1709677419355
2012,4,102.466666666667
2012,5,210.516129032258
2012,6,240.633333333333
2012,7,165.032258064516
2012,8,119.845161290323
2012,9,87.52
2012,10,64.5451612903226
2012,11,42.8633333333333
2012,12,32.8161290322581
2013,1,31.8032258064516
2013,2,29.9642857142857
2013,3,33.0548387096774
2013,4,47.58
2013,5,286.067741935484
2013,6,680.533333333333
2013,7,262.032258064516
2013,8,138.41935483871
2013,9,430.066666666667
2013,10,205.967741935484
2013,11,105.18
2013,12,66.3433333333333
2014,1,56.3032258064516
2014,2,52.2071428571429
2014,3,53.2903225806452
2014,4,140.56
2014,5,507.483870967742
2014,6,1238.63333333333
2014,7,570.096774193548
2014,8,211.870967741935
2014,9,131.83
2014,10,98.6903225806452
2014,11,72.8566666666667
2014,12,59.258064516129
2015,1,50.8096774193548
2015,2,49.1785714285714
2015,3,61.8741935483871
2015,4,115.446666666667
2015,5,549.645161290323
2015,6,1590.16666666667
2015,7,588
2015,8,160.161290322581
2015,9,101.396666666667
2015,10,89.058064516129
2015,11,62.2133333333333
2015,12,57.5838709677419
2016,1,55.7838709677419
2016,2,46.5241379310345
2016,3,45.9709677419355
2016,4,97.2366666666667
2016,5,319.903225806452
2016,6,1126.26666666667
2016,7,347.387096774194
2016,8,139.741935483871
2016,9,86.62
2016,10,64.8967741935484
2016,11,46.86
2016,12,44.5677419354839
2017,1,44.2806451612903
2017,2,43.8785714285714
2017,3,59.2935483870968
2017,4,75.0533333333333
2017,5,219.61935483871
2017,6,944.733333333333
2017,7,431.225806451613
2017,8,190.161290322581
2017,9,114.033333333333
2017,10,98.1096774193548
2017,11,70.6233333333333
2017,12,49.7451612903226
2018,1,44.5903225806452
2018,2,43.6607142857143
2018,3,44.4838709677419
2018,4,69.0033333333333
2018,5,381.806451612903
2018,6,474.766666666667
2018,7,151.967741935484
2018,8,83.2838709677419
2018,9,56.5
2018,10,47.8806451612903
2018,11,37.1
2018,12,31.3935483870968
2019,1,35.2
2019,2,34.425
2019,3,38.9967741935484
2019,4,72.7666666666667
2019,5,129.212903225806
2019,6,861.566666666667
2019,7,729.677419354839
2019,8,195.290322580645
2019,9,101.48
2019,10,74.3
